,Tweets
0,"Spain boosts security as prime minister targeted in a series of letter bombs, including one that exploded at Madrid's Ukrainian embassy on Wednesday https://t.co/9c864FEzsg"
1,"The House Ways and Means Committee now has six years of Donald Trump’s federal tax returns after the Supreme Court declined to intervene last week
https://t.co/wkaUbmiQew"
2,"Christine McVie, the singer-songwriter behind some of Fleetwood Mac's biggest hits, has died following a brief illness. She was 79.
https://t.co/SzXC6gVIJD https://t.co/PIIUwgOl88"
3,"House Democrats pick Hakeem Jeffries of New York to succeed Nancy Pelosi as leader of the Democrats in the chamber next year, a historic move that will make him the first Black person to lead one of the two major parties in either chamber of Congress. https://t.co/NdvSYNCmtI"
4,"An explosion occurred at Ukraine's embassy in Madrid, injuring at least one person, the Spanish Interior Ministry said https://t.co/qdkxCKZLzE"
5,"Jiang Zemin, former Chinese leader who presided over a period of unprecedented economic growth, has died at 96, state media confirms https://t.co/ArMQg1WoQP"
6,"Former Trump adviser Stephen Miller testifies before federal grand jury as part of the January 6 investigation, a source says
https://t.co/OdEj4z0OPf"
7,The Senate passes a landmark bipartisan bill to protect same-sex and interracial marriage. The measure now goes to the House. https://t.co/9V0OwgfWVx
8,Two Oath Keepers leaders found guilty of seditious conspiracy for their roles in the US Capitol attack https://t.co/aqjH7UygRe
9,Jurors have reached a verdict in the trial of 5 alleged Oath Keepers leaders charged with seditious conspiracy and other counts. Follow live updates. https://t.co/5C4vgIvQJS
10,The United States defeats Iran 1-0 to advance to the knockout stage of the World Cup https://t.co/SKGMc7Vrsw https://t.co/Wo9KeTOiW8
11,"The White man accused of killing 10 people and injuring more than a dozen at a grocery store in a predominantly Black neighborhood in Buffalo pleaded guilty Monday to state charges of murder, domestic terrorism, and attempted murder as a hate crime. https://t.co/otTpKXdv9F"
12,The US government gives Chevron limited authorization to resume pumping oil from Venezuela after reaching a humanitarian agreement https://t.co/LPKShH7jRG
13,"Oscar winner Irene Cara, best known for singing “Fame” and “Flashdance” theme songs, dies at age 63, her publicist says https://t.co/QaY4RU7szb"
14,"The US and England finish in 0-0 draw, in just their third match in World Cup history. https://t.co/1cbN3PAOQJ"
15,"An arrest warrant has been issued for a friend of a North Carolina woman who was found dead last month while on vacation in Cabo San Lucas, Mexico https://t.co/1t8xLhhOeQ"
16,E. Jean Carroll sues Trump for battery and defamation under new New York law that allows adults alleging sexual assault to bring claims years later https://t.co/9hWojRksrX
17,"The Justice Department is seeking former Vice President Mike Pence’s testimony in the criminal investigation into efforts by former President Donald Trump and allies to impede the transfer of power after the 2020 election, sources say https://t.co/oGAUmlzlkO"
18,"Georgia Supreme Court reinstates six-week abortion ban in the state, putting a ruling by a lower court that overturned the ban on hold https://t.co/GQNm0LZsYs"
19,"Georgia's Supreme Court allows early voting on the Saturday after Thanksgiving, rejecting an emergency request from Republicans to block it https://t.co/hF1Bbk94ko"
20,"First-time weekly claims for unemployment benefits have jumped to 240,000 https://t.co/2lvNjawD8L"
21,The Chesapeake police chief provided a timeline of events at the Walmart shooting that killed at least six -- saying investigators have confirmed the suspect was an employee Follow live updates here. https://t.co/NmDQIvs8fI
22,"Two explosions shook Jerusalem early Wednesday, killing at least one person and injuring more than a dozen, Israeli police said https://t.co/ur2i3mDk9D"
23,"Multiple people are dead and injured after a person opened fire in a Walmart in Chesapeake, Virginia, police say. The shooter is believed to be dead. https://t.co/nv6SExQ9DB"
24,"Biden administration will again extend the moratorium on student loan payments, a source says. It comes as Biden's debt relief program is tied up in courts. https://t.co/3iqhRMG3Mb"
25,"Three sheriff's office employees have been arrested in the beating of Jarrett Hobbs, a 41-year-old Black man, at a Georgia detention center
https://t.co/cRuZhD8QR7"
26,"The Supreme Court clears the way for the release of former President Trump's tax returns to a Democratic-led House committee
https://t.co/QpFVbdjzF0"
27,"Soccer star Cristiano Ronaldo is leaving Manchester United effective immediately, the club says, just days after he gave an explosive TV interview
https://t.co/nb0lkWueaY"
28,"DA identifies man who drove SUV through Apple store, killing one and injuring 20, says he's been charged with ""reckless homicide by motor vehicle""
https://t.co/26qp6kFPDA"
29,"DA identifies man who drove SUV through Apple store, killing one and injuring 20, says he's been charged with ""reckless homicide by motor vehicle""
https://t.co/3IL9h2EqtS"
30,"Indonesia earthquake death toll rises to 268 with 151 missing and more than 1,000 injured, authorities say
https://t.co/lN2CjqQ93K"
31,"One person was killed and at least 16 were injured when an SUV crashed into an Apple store in Massachusetts, an official says https://t.co/9iLDJjZYjU"
32,The Supreme Court dismissed a challenge to Texas state legislative maps that critics say intentionally dilute minority voting power and result in an illegal racial gerrymander https://t.co/0boKN3n8MO
33,"America's largest railroad union rejects a tentative labor deal, another setback for efforts to avoid a crippling nationwide strike next month https://t.co/ExAGNF68mL"
34,"At least 46 people are dead and 700 injured after a 5.6-magnitude earthquake hit Indonesia, officials said https://t.co/zqtZowqB2R https://t.co/97RvByFurM"
35,"The suspect in Saturday's mass shooting at a LGBTQ nightclub in Colorado has been identified, and authorities say a long rifle was used in the rampage https://t.co/RxoHhgNhd9"
36,"Five people killed and at least 18 injured in mass shooting at a gay nightclub in Colorado, police said https://t.co/STiopDgNkQ"
37,"COP27 negotiators agree to set up first ever fund to compensate vulnerable nations for the impacts of climate change
https://t.co/Ea8NjCl8gG"
38,"Elon Musk restores Donald Trump's Twitter account following the results of a poll on the platform
https://t.co/kcXVHTulSP"
39,FIFA head Gianni Infantino launched a tirade against Western critics of the World Cup on the eve of kickoff in Qatar https://t.co/pmSp4QZ55T
40,A judge in Georgia will allow early voting on the Saturday after Thanksgiving in the state's US Senate runoff https://t.co/NrbzRTOBbq
41,Elizabeth Holmes has been sentenced to more than 11 years in prison for defrauding investors while running the failed blood testing startup Theranos https://t.co/jXNuTsq2xC
42,Attorney General Merrick Garland will name a special counsel to determine whether former President Donald Trump should face charges related to Justice Department investigations https://t.co/O5DYiD1tia
43,Democrat Adam Frisch concedes to GOP Rep. Lauren Boebert in close US House race in Colorado https://t.co/TY0XHGNdtU
44,"Taylor Swift said the Ticketmaster fiasco that infuriated fans trying to buy tickets for her new tour was ""excruciating for me"" https://t.co/RMwWsfenxx"
45,The Biden administration has asked the Supreme Court to allow its controversial student loan relief program to go into effect while legal challenges play out https://t.co/aucs8nMVJl
46,Democratic US Rep. Hakeem Jeffries of New York will run for House minority leader. He would be the first Black person to lead a party in Congress. https://t.co/2eYXDJ3kTY
47,"The acting police chief on the day of the Uvalde school massacre in Texas has resigned from the department, mayor says https://t.co/ZUXLxaDpmr"
48,A Dutch court finds two Russians and a separatist Ukrainian guilty of mass murder over the downing of flight MH17 over Ukraine in 2014 that killed 15 crew members and 283 passengers https://t.co/L91aqqSfSm
49,"Russia agrees to extend a deal that allows Ukraine to export grain via the Black Sea, easing pressures on global food supplies https://t.co/ZOLzEqjaTw"
50,The man convicted of killing six people during a Christmas parade in Wisconsin has been sentenced to life in prison. https://t.co/DmhBpL0UgG
51,"Republicans will control the House, CNN projects. It's not the red wave Republicans had envisioned, but it will allow the party to launch investigations into the Biden administration and block his agenda. https://t.co/glnIA3hBLA https://t.co/wZTudLb2Ta"
52,"Mitch McConnell will remain Senate GOP leader, fending off a challenge by Rick Scott amid divisions within the party and disappointing midterms. https://t.co/S4a5UsGNEJ"
53,"Initial US assessments indicate the missile that landed in Poland may have originated in Ukraine, not Russia, two officials say.

Follow live updates: https://t.co/0nBDyVZvFN"
54,NASA launches Artemis I mission to the moon for historic 25.5-day journey into deep space. https://t.co/g1oyaHRg6a
55,"Former President Donald Trump announces another run for the White House and enters the 2024 race, aiming to become only the second US president ever elected to two nonconsecutive terms. https://t.co/0sdl5NAODw https://t.co/0GQqPJo19g"
56,"Poland, a NATO member, confirms a Russian-made missile was responsible for the deaths of two people in a small town near the Ukraine border
https://t.co/1P7sUPzCEw"
57,"Judge blocks Title 42, the controversial Trump-era pandemic rule allowing US authorities to expel over 1 million migrants who crossed the US-Mexico border
https://t.co/XmX7ycS6bc"
58,"Rick Scott told fellow GOP senators he will challenge Senate Minority Leader Mitch McConnell to be leader of the party in the chamber next year
https://t.co/05Gd5p4AdC"
59,Two people have reportedly been killed by missiles or rockets in Poland as a wave of Russian strikes hit western Ukraine. The origin of the projectiles is unclear. https://t.co/bwJI8laA5a
60,"House GOP leader Kevin McCarthy has won his party's nomination for speaker, beating conservative challenger Rep. Andy Biggs in a 188-31 vote https://t.co/X2ofvCsffG"
61,Russian missile strikes hit residential buildings in Kyiv as air raid sirens sound throughout Ukraine. Follow live updates: https://t.co/EaSOryAG9y
62,"EXCLUSIVE: US intelligence suggests Russia may have delayed announcing its withdrawal from Kherson until after midterms, sources say https://t.co/6npZI7ejA0"
63,"CNN PROJECTION: Democrat Katie Hobbs will be Arizona's governor after a tight race. She defeats Trump-backed Republican Kari Lake, who denied 2020 election results https://t.co/9W74uOBl0I https://t.co/gkc4roQ403"
64,Federal prosecutors have closed the foreign lobbying investigation into Rudy Giuliani without any charges https://t.co/xcin0R01Lc
65,"Documents show six nations spent more than $700,000 at Trump's DC hotel, a rare case of foreign governments spending money with a sitting president https://t.co/uBwERHpec6"
66,The Supreme Court says the House January 6 committee may obtain the phone and text records of Arizona Republican Party Chair Kelli Ward https://t.co/kdVwwnNlsu
67,"A suspect is in custody after a shooting at the University of Virginia that left three football players dead and wounded two others, police say https://t.co/WbB0uTVRpH"
68,The CIA director is meeting with his Russian counterpart to deliver a message on the use of nuclear weapons and discuss the detention of US citizens https://t.co/XP47lGfHl6
69,A shooter has killed three people and wounded two others at the University of Virginia's main campus. The suspect remains at large. https://t.co/sO4qduybci
70,Ukraine's President Zelensky arrives in Kherson for an unannounced visit to celebrate recapture of the key southern city https://t.co/xJdkgcBqaJ
71,"An explosion rocked a popular tourist area in central Istanbul with casualties reported, the city's governor says https://t.co/yhQ83zlNiU"
72,"With Sen. Cortez Masto's key win in Nevada, Democrats will maintain control of the chamber in a big victory for President Biden, CNN projects
https://t.co/TTskI9MEqi https://t.co/SXHwX4s8FC"
73,"Two planes have collided during the Wings Over Dallas air show at Dallas Executive Airport, authorities said
https://t.co/c9wOZmK53m"
74,"$473 million in assets are missing from the reeling cryptocurrency exchange, which just filed for bankruptcy.
https://t.co/ECurmQMdQp"
75,"After eight months living under Russian occupation, euphoric Ukrainians gather in the city's ""Freedom Square"" to celebrate liberation https://t.co/o2eaGlpYnU"
76,"CNN PROJECTION: Democratic Sen. Mark Kelly will be elected to a full term, keeping Senate seat blue in Arizona as he defeats Republican Blake Masters https://t.co/Z5U4CdnVe2 https://t.co/jIcBxZ358R"
77,"Comedian Gallagher, best known for his watermelon-smashing comedy routine and many popular specials in the 1980s, died Friday morning, according his manager. He was 76. https://t.co/Zteyp9qGq5"
78,"FTX launches voluntary bankruptcy proceedings and its CEO resigns, marking a stunning downfall for one of the most powerful players in crypto https://t.co/yUgJBsbTi5 https://t.co/MhzkHZXYCb"
79,A Ukrainian official for the first time acknowledged that Kherson city is “almost under the control of the Armed Forces of Ukraine.” Follow live updates: https://t.co/MGtpOvh0Ug
80,Tonga issues tsunami warning and calls for evacuation inland after large earthquake near Pacific island nation  https://t.co/YNPTN0XB6m
81,"Benjamin Netanyahu will be invited on Sunday to form Israel's next government, paving his way to the top job for a record sixth time https://t.co/QtqrBHaZPx"
82,"All Russian troops have left the key Ukrainian city of Kherson, defense ministry says, confirming a humiliating retreat for Moscow https://t.co/7ky1B77hkA"
83,"A federal judge strikes down President Biden's student loan forgiveness program, which is already on hold due to a separate legal challenge
https://t.co/fFjqdGUJZU"
84,Conspiracy theorist Alex Jones has been ordered to pay another nearly half a billion dollars for his impact on families affected by 2012 Sandy Hook shooting https://t.co/vCIKocDO0L
85,President Joe Biden will meet Chinese leader Xi Jinping face-to-face on Monday in their first in-person encounter since Biden took office https://t.co/pCy8KgkPif
86,"Consumer prices rose 7.7% for the year ending in October, down from an 8.2% increase in September https://t.co/hfJaOO8YVP"
87,"Hurricane Nicole makes landfall in Florida with 75 mph winds. It comes just weeks after Ian brought devastation to parts of the state.
https://t.co/EAoUGc61qO"
88,Nicole strengthens to a Category 1 hurricane as it takes aim at Florida’s east coast after lashing the Bahamas https://t.co/fd2jqcs7Ss
89,Moscow orders a retreat from the west bank of the Dnipro River in Kherson as Ukrainian troops advance https://t.co/EJnPmmx5l3
90,"CNN PROJECTION: Democratic Gov. Laura Kelly will win reelection in Kansas, CNN projects, defeating Republican state Attorney General Derek Schmidt in a state former President Donald Trump won by 15 percentage points two years ago https://t.co/zKSof8in06 https://t.co/uGoUryIygH"
91,"Pieper Lewis, the Iowa teen who killed a man she said raped her multiple times, is back in custody following her escape from the residential corrections facility where she was serving probation, according to the Polk County Sheriff's Office https://t.co/A0lSkwCryv"
92,"Meta, the parent company of Facebook, said it's laying off 11,000 employees, the most significant job cuts in the tech giant's history
https://t.co/N41TPxYUEP"
93,"CNN Projection: Democratic Rep. Chris Pappas will win reelection in New Hampshire’s 1st Congressional District, keeping the swing seat in Democratic hands by defeating Karoline Leavitt, who worked as a press aide to former President Donald Trump https://t.co/uIvIf8K8VV https://t.co/OioH1bQFbR"
94,"US women’s basketball star Brittney Griner is being transferred to a Russian penal colony and her whereabouts are unknown, her attorneys say https://t.co/qXKmAiQ8CR"
95,"CNN PROJECTION: Democratic Gov. Gretchen Whitmer will win reelection in Michigan, defeating Trump-backed Republican challenger Tudor Dixon https://t.co/CCPqF3qePU https://t.co/zNWZ7ltGb4"
96,"CNN PROJECTION: Wisconsin Gov. Tony Evers, a Democrat, will win his reelection race, defeating Trump-backed Republican Tim Michels https://t.co/xipMMZ1Qme https://t.co/grVC3Duwgz"
97,"CNN PROJECTION: Democrat John Fetterman defeats Republican Mehmet Oz in the Pennsylvania Senate race, flipping a seat for Democrats https://t.co/6MHAK1ZAxk https://t.co/rJfCxnAbZL"
98,"CNN PROJECTION: Republican Brad Raffensperger, who refused Trump's request to ""find"" thousands of votes during the 2020 election, will be reelected as Georgia secretary of state https://t.co/JqsS9AKvn1"
99,"CNN PROJECTION: House Speaker Nancy Pelosi has won reelection, defeating a longshot Republican challenger https://t.co/pNv1oqRvbX https://t.co/Mc28CAwYMp"
100,"CNN PROJECTION: Democratic New York Gov. Kathy Hochul will win election to a full term, becoming the first woman to do so. She defeats Trump-backed Republican Lee Zeldin https://t.co/fvlu9Ikrzr https://t.co/3N8LHWcqst"
101,"CNN PROJECTION: House GOP leader Kevin McCarthy has won reelection, defeating a longshot Democratic challenger in the race for California’s 20th District https://t.co/0aoqMMORh7 https://t.co/aH2YJvEC1E"
102,"CNN PROJECTION: Democrat Gavin Newsom will win another term as California's governor, a year after he faced a recall election https://t.co/TaWtQ0I77V"
103,"CNN PROJECTION: Harriet Hageman, who ousted Trump critic Liz Cheney in the GOP primary and was backed by the former president, will win Wyoming's sole congressional seat https://t.co/tw3PhYC0g7 https://t.co/nWjNtLjmp4"
104,"CNN PROJECTION: J.D. Vance, a Republican who has embraced Trumpism, will win the Senate race in Ohio, defeating Democrat Tim Ryan https://t.co/reBnTxEz7d https://t.co/CqVxtcmeFO"
105,"CNN PROJECTION: Democrat Josh Shapiro will win the Pennsylvania governor's race, defeating Trump-backed Republican Doug Mastriano https://t.co/xeMD1YKUfS https://t.co/s4juhl9KTf"
106,"CNN PROJECTION: Republican Georgia Gov. Brian Kemp will win another term, defeating Democratic challenger Stacey Abrams in their closely watched rematch https://t.co/YvrMdxebqT https://t.co/fTeXH4cXlx"
107,"CNN PROJECTION: Democrat Summer Lee will win election to Pennsylvania’s 12th District, becoming the first Black woman elected to Congress from the state https://t.co/1yW9wcALwr"
108,"CNN PROJECTION: Democrat Maura Healey will win the Massachusetts governor's race, defeating Republican Geoff Diehl. She will be the country's first out lesbian governor and the first woman elected governor in Massachusetts https://t.co/66FxCOYXzF https://t.co/CNpYh4esu9"
109,"CNN PROJECTION: Senate Majority Leader Chuck Schumer, a Democrat, will win reelection in New York, defeating Republican Joe Pinion https://t.co/R9Tun2IDq0 https://t.co/0aQ2lFt3pE"
110,"CNN PROJECTION: Republican Sarah Huckabee Sanders, who served as press secretary under former President Donald Trump, will be the first woman elected governor of Arkansas, winning the office her father previously held for over a decade https://t.co/NGz5gMuare https://t.co/NOz7OU4auL"
111,"CNN PROJECTION: Republican Sen. Rand Paul will win reelection in Kentucky, defeating progressive Democratic challenger Charles Booker https://t.co/VAaxxY5WzD"
112,"CNN PROJECTION: Republican Sen. Marco Rubio will win reelection in Florida, defeating Democratic challenger Val Demings https://t.co/NRZXSxpUQP https://t.co/PznYICWFhe"
113,"CNN PROJECTION: Florida Republican Gov. Ron DeSantis will win reelection, defeating former governor and Democratic challenger Charlie Crist https://t.co/RSIwiRFZAm https://t.co/GFRcUl2vyR"
114,Polls are closing across several key states. Follow live updates with control of the House and Senate at stake #CNNelection https://t.co/WvsY90hKQJ
115,"The Powerball drawing for a record $2.04 billion jackpot has been held after a delay over security protocols. Did you win?
https://t.co/ELtqLoi3q2"
116,"Subtropical Storm Nicole is expected to strengthen into a Category 1 hurricane before reaching Florida later this week, latest forecast says https://t.co/s9byW5vpqJ"
117,"Yevgeny Prigozhin, a Kremlin-linked oligarch known as ""Vladimir Putin's chef,"" appeared to admit to Russian interference in US elections in a Telegram post https://t.co/krayIo7Mk2 https://t.co/6YXfC6TMZB"
118,"Twitter is delaying the rollout of its $8 ""blue check"" verification plan until after midterms, a source says. https://t.co/vHudYbbXKE"
119,"Arizona Republican Kari Lake's campaign headquarters received ""suspicious"" mail containing white powder, her campaign and Phoenix police say
https://t.co/pxZQNmRI1J"
